발짓 0 1 2
괜찮았음 11 66 4
쫭 0 1 1
백봉기 0 1 3
지루할테지만 0 1 6
책임질려고 1 0 5
rma 0 1 3
찡하다 0 14 3
drag 1 0 4
보냈네요 0 2 4
구리워 1 0 3
기장면 3 0 3
창피함도 1 0 4
방대하게 1 0 4
성가 0 2 2
날카롭지만 0 1 5
가츠 0 1 2
도랏멘 2 0 3
으르렁 1 1 3
망쳐놨내 1 0 4
극락왕생 1 0 4
영혼 51 82 2
나른한 3 5 3
놀랐습니다 2 12 5
바램유바램유 0 1 6
밉니다 0 1 3
워프 3 0 2
지루한것도 1 0 5
쓰는것이지 1 0 5
반같은 1 0 3
교관 2 4 2
딸리고 5 0 3
06/2 0 1 4
주는만큼 0 1 4
찬송 1 3 2
묵고 3 0 2
54회 1 1 3
씻기지 1 0 3
채우 2 0 2
벤더스 1 4 3
게르만족 0 2 4
.., 24 14 3
되는것까지 1 0 5
입어보고 0 1 4
짧다고 0 1 3
이민정 12 27 3
하게잘 0 2 3
않는다는 3 11 4
정신증 0 1 3
나타나면 5 2 4
없다란 2 3 3
지나치면 3 1 4
아엠인빈서블 0 1 6
유딩한테 1 0 4
같잖다는말밖에 1 0 7
정완 0 3 2
괜찮아지려나 1 0 6
river 0 2 5
개장 1 0 2
쌍수 1 0 2
빰빠라빰밤빰빠 1 0 7
에 13490 14186 1
페니 0 6 2
할말조차 1 0 4
결혼식 15 13 3
말아야 29 17 3
1900년 1 0 5
쓰시려는 1 0 4
읽어볼껄 1 0 4
존쿠샥 1 1 3
나왔을것 1 0 4
나올때마닼 0 1 5
있는가 23 35 3
갇혀 4 7 2
구원파 0 1 3
책임지는 0 2 4
싶다난 1 0 3
울고나 0 1 3
백수 7 3 2
투철 4 4 2
가더라는 0 1 4
브르스 1 1 3
어렸으니까 1 0 5
생각날것이다 0 2 6
있을건 0 1 3
버리나 1 1 3
재활용 14 5 3
76% 1 0 3
프로필사진 0 1 5
집기 10 0 2
????.... 1 0 8
Kbs 5 1 3
입대 2 4 2
Answer 1 0 6
애절하다는 0 1 5
세세한 2 8 3
배우든지혀야지 1 0 7
산지 1 2 2
없더라고 1 0 4
괜찮았다한 0 1 5
끌어내지 6 2 4
엑센트 1 0 3
김용택 0 2 3
엠페러 0 1 3
풀어놓는 1 0 4
잠잤던 1 0 3
나오시고 0 1 4
절묘한 1 18 3
ㅉㄴㅉㄴㅉㄴㅉㄴㅉㄴㅉㄴㅉㄴㅉㄴㅉㄴㅉㄴㅉㄴ 1 0 22
이끌어서는 0 1 5
허구가있어야 1 0 6
Heart 1 0 5
태어날 0 4 3
..,,,..,, 0 1 9
오시 10 6 2
섭섭하네요 0 4 5
[?] 0 2 3
은지 3 5 2
로베르 1 1 3
질릴만큼 1 0 4
프랑스어 5 3 4
쏱아내 1 0 3
함 800 836 1
보앗네 0 2 3
도와주러 1 0 4
파파로티 1 2 4
슈퍼쥬니어 1 0 5
letter 0 1 6
성공하면 0 2 4
찍으신 2 0 3
괜찮다았던 0 1 5
넣은거 3 2 3
부렸네 1 0 3
밧네 1 0 2
교휸적 0 1 3
되었다 66 201 3
season 0 1 6
들이다 4 2 3
풋풋함과 1 1 4
외래 1 0 2
전체주의 2 1 4
보셍 1 2 2
잘봣으 0 1 3
남아도 27 2 3
남아돌면 10 1 4
남기지 1 5 3
나카 1 1 2
담아내는데 0 1 5
로란 1 0 2
마적 0 1 2
빨대 2 1 2
꿨어요 0 2 3
봐야겠고 2 0 4
나오키 2 0 3
토나오는 6 1 4
다물어짐 0 1 4
필사 3 5 2
하게타카 1 0 4
